14:19:46.971 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:19:47.109 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
14:19:47.659 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
14:19:47.672 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
14:19:47.678 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Started PeoplemanagementApplication in 1.384 seconds (process running for 420.929)
14:19:47.680 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
14:19:50.126 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
14:19:50.144 [Thread-16] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
14:19:50.251 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Starting PeoplemanagementApplication using Java 17.0.1 with PID 69480 (C:\Users\dougl\Documents\codes\peoplemanagement\target\classes started by dougl in C:\Users\dougl\Documents\codes\peoplemanagement)
14:19:50.251 [restartedMain] DEBUG c.d.p.PeoplemanagementApplication - Running with Spring Boot v3.0.1, Spring v6.0.3
14:19:50.251 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - No active profile set, falling back to 1 default profile: "default"
14:19:50.460 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:19:50.469 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 1 JPA repository interfaces.
14:19:50.547 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
14:19:50.566 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 313 ms
14:19:50.592 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:~/people-management'
14:19:50.664 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:19:50.821 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
14:19:51.464 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
14:19:51.477 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
14:19:51.484 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Started PeoplemanagementApplication in 1.266 seconds (process running for 424.735)
14:19:51.486 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
14:19:52.911 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
14:19:52.928 [Thread-20] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
14:19:53.016 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Starting PeoplemanagementApplication using Java 17.0.1 with PID 69480 (C:\Users\dougl\Documents\codes\peoplemanagement\target\classes started by dougl in C:\Users\dougl\Documents\codes\peoplemanagement)
14:19:53.016 [restartedMain] DEBUG c.d.p.PeoplemanagementApplication - Running with Spring Boot v3.0.1, Spring v6.0.3
14:19:53.016 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - No active profile set, falling back to 1 default profile: "default"
